6:00-6:14;2;30;12;4;6;19;2;38;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0
6:15-6:29;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6:30-6:44;4;73;0;2;24;62;20;25;0;0.0;0.0;0.0;0.0;2.5;1.0;0.0;7.1;100.0
6:45-6:59;11;68;0;20;39;74;27;17;0;0.0;0.0;0.0;0.0;9.1;1.6;0.0;2.6;100.0
7:00-7:14;35;73;2;27;13;42;10;47;0;0.0;0.0;0.0;8.2;7.0;1.5;3.5;0.0;100.0
7:15-7:29;93;161;34;23;18;110;30;53;0;0.0;0.0;0.4;11.5;10.5;1.1;0.0;9.4;100.0
7:30-7:44;221;248;29;43;68;235;65;78;0;0.0;0.0;0.4;11.9;11.5;7.5;0.6;8.9;100.0
7:45-7:59;371;233;37;47;61;268;89;151;0;0.0;0.0;0.2;8.3;9.9;6.8;2.8;20.6;100.0
8:00-8:14;248;190;40;23;74;165;62;146;0;0.0;0.0;0.2;7.3;10.1;4.7;1.9;20.2;100.0
8:15-8:29;556;272;63;30;89;186;69;156;0;0.0;0.2;6.0;16.7;12.9;5.0;3.3;14.2;100.0
8:30-8:44;387;261;60;43;87;174;68;124;0;0.0;0.5;4.6;19.2;7.0;8.2;3.3;10.5;100.0
8:45-8:59;489;198;54;20;34;115;39;39;0;0.0;0.4;6.7;15.3;6.4;8.6;2.0;9.7;100.0
9:00-9:14;252;149;26;27;32;115;37;84;0;0.0;0.0;16.0;28.4;9.8;6.5;1.6;11.0;100.0
9:15-9:29;208;164;38;24;30;92;29;45;0;0.0;1.0;1.6;5.0;5.9;5.6;1.7;5.0;100.0
9:30-9:44;256;178;51;20;24;88;22;58;0;0.0;1.2;1.2;4.8;4.2;4.4;1.8;7.7;100.0
9:45-9:59;253;328;123;51;46;111;28;84;0;0.0;1.6;5.0;9.5;4.6;3.6;1.7;15.3;100.0
10:00-10:14;120;276;147;36;57;146;25;81;0;0.0;0.0;0.0;3.3;2.9;2.5;1.8;6.3;100.0
10:15-10:29;258;313;359;36;51;141;32;42;0;0.0;0.4;2.3;22.2;3.7;2.5;2.2;7.1;100.0
10:30-10:44;668;1046;826;118;95;202;42;164;0;0.0;0.7;3.2;8.3;3.0;1.7;1.4;3.6;100.0
10:45-10:59;362;2151;561;448;74;118;29;103;0;0.0;0.8;0.7;3.2;2.1;1.7;1.3;4.3;100.0
11:00-11:14;278;1071;460;273;93;149;27;117;0;0.0;0.4;1.3;2.3;2.7;1.6;1.2;3.5;100.0
11:15-11:29;172;708;584;186;80;215;27;178;0;0.0;2.3;0.8;1.2;2.5;1.6;1.4;4.0;100.0
11:30-11:44;329;657;481;78;88;153;44;428;0;0.0;0.3;3.9;3.9;2.6;1.2;1.7;3.9;100.0
11:45-11:59;511;1462;672;95;139;277;30;233;0;0.0;0.8;1.6;1.5;2.9;1.4;1.6;4.6;100.0
12:00-12:14;439;1352;856;89;156;288;28;320;0;0.0;1.1;0.7;0.8;2.7;1.8;1.5;4.1;100.0
12:15-12:29;386;1528;1562;130;182;415;50;437;0;0.0;1.0;1.1;1.6;2.9;1.8;1.3;3.9;100.0
12:30-12:44;546;2101;1328;190;108;273;37;325;0;0.0;0.4;1.1;2.3;3.2;1.1;1.5;3.5;100.0
12:45-12:59;661;4515;1580;518;132;220;36;289;0;0.0;1.8;0.3;1.8;2.1;1.8;1.5;5.6;100.0
13:00-13:14;491;2084;1398;432;170;260;45;387;0;0.0;1.0;0.7;1.1;2.7;1.5;1.5;4.7;100.0
13:15-13:29;362;1265;1207;154;129;301;40;285;0;0.0;0.3;0.9;0.8;2.3;1.4;1.2;3.7;100.0
13:30-13:44;393;1054;1122;84;112;280;26;377;0;0.0;1.3;1.2;0.9;3.0;1.3;0.9;4.8;100.0
13:45-13:59;325;1588;1002;94;152;254;38;512;0;0.0;2.8;0.3;0.8;3.3;1.4;1.3;4.9;100.0
14:00-14:14;591;2280;1764;131;189;430;34;659;0;0.0;0.2;0.8;1.1;3.0;1.5;1.3;4.3;100.0
14:15-14:29;534;1210;1466;94;109;331;33;346;0;0.0;0.9;1.0;2.4;3.2;1.5;1.1;4.6;100.0
14:30-14:44;823;2922;2014;143;209;293;38;723;0;0.0;0.7;0.5;2.5;2.9;1.1;1.2;4.5;100.0
14:45-14:59;808;3121;1199;206;249;303;30;389;0;0.0;1.0;0.5;2.1;2.0;1.2;1.1;4.9;100.0
15:00-15:14;1600;4569;2221;578;340;343;26;258;0;0.0;1.1;0.3;0.9;2.3;1.3;1.2;5.3;100.0
15:15-15:29;1137;2020;2074;385;368;330;19;438;0;0.0;0.5;0.3;0.6;1.9;1.1;1.0;5.3;100.0
15:30-15:44;1150;2490;2170;215;512;432;27;581;0;0.0;0.6;0.2;0.5;1.5;1.7;1.1;4.6;100.0
15:45-15:59;925;2560;1572;193;369;299;13;270;0;0.0;0.8;0.3;0.5;1.5;1.3;0.9;5.2;100.0
16:00-16:14;1326;2191;1622;288;421;213;20;364;0;0.0;1.0;0.6;0.5;1.6;1.2;1.1;6.0;100.0
16:15-16:29;2069;2651;2223;263;539;473;33;478;0;0.0;0.6;0.4;0.4;1.8;1.6;1.0;5.9;100.0
16:30-16:44;1808;2438;1778;200;389;351;27;318;0;0.0;0.7;0.4;0.6;1.7;1.3;0.9;5.4;100.0
16:45-16:59;2711;4701;2382;280;485;299;53;345;0;0.0;0.8;0.2;0.5;1.7;1.2;0.9;4.9;100.0
17:00-17:14;2067;4047;1820;329;325;187;34;165;0;0.0;0.3;0.2;0.3;1.1;1.3;1.0;4.6;100.0
17:15-17:29;2235;2703;2391;345;576;325;37;207;0;0.0;0.3;0.2;0.6;1.6;1.7;0.8;4.7;100.0
17:30-17:44;904;1844;1136;89;300;243;23;104;0;0.0;0.9;0.8;0.9;2.0;1.4;1.5;5.4;100.0
17:45-17:59;759;1376;899;76;225;188;27;86;0;0.0;0.3;0.5;0.5;2.0;1.8;1.5;5.0;100.0
18:00-18:14;493;1161;705;81;252;218;26;59;0;0.0;0.6;0.5;0.5;1.3;2.2;1.3;5.7;100.0
18:15-18:29;422;1430;820;83;211;274;31;59;0;0.0;1.9;0.2;1.5;2.8;2.7;2.1;6.0;100.0
18:30-18:44;135;557;392;34;52;80;14;35;0;0.0;0.7;0.4;0.4;1.9;3.9;1.7;5.0;100.0
18:45-18:59;274;1217;796;113;153;220;21;33;0;0.0;0.7;0.3;1.7;1.8;2.7;1.9;6.1;100.0
19:00-19:14;102;1089;312;43;62;94;11;21;0;0.0;2.9;0.0;1.4;2.5;2.4;1.4;7.5;100.0
19:15-19:29;65;541;297;67;74;83;13;14;0;0.0;0.0;0.0;0.4;2.1;3.3;2.2;7.3;100.0
19:30-19:44;88;344;378;26;43;83;10;13;0;0.0;0.0;0.2;0.5;1.2;4.1;1.8;4.5;100.0
19:45-19:59;85;351;274;25;106;171;25;12;0;0.0;0.0;0.5;0.6;4.3;3.2;2.1;5.5;100.0
20:00-20:14;87;289;393;34;45;70;18;10;0;0.0;0.0;0.5;0.5;1.9;2.3;1.5;7.9;100.0
20:15-20:29;95;263;269;30;69;154;16;7;0;0.0;1.1;0.0;0.5;1.7;4.1;1.0;4.3;100.0
20:30-20:44;56;198;227;17;35;48;6;13;0;0.0;0.0;0.0;0.2;0.8;4.2;2.9;5.1;100.0
20:45-20:59;72;198;96;17;41;129;26;19;0;0.0;0.0;0.4;0.5;3.2;2.2;1.7;7.1;100.0
21:00-21:14;61;200;224;9;32;74;3;8;0;0.0;1.6;0.4;0.4;3.1;3.6;0.9;4.6;100.0
21:15-21:29;42;123;182;26;53;126;21;19;0;0.0;0.0;0.0;0.3;3.0;2.2;2.1;3.5;100.0
21:30-21:44;10;85;109;4;18;23;14;8;0;0.0;0.0;0.0;0.5;1.4;3.6;0.4;7.6;100.0
